gene	end
PDE4B	66354894
PHACTR3	59605132
PHACTR3	59743107
PHACTR3	59628816
PHACTR3	59612527
PHACTR3	59612381
PLCE1	94216005
PLCE1	94216007
PLCE1	94340737
POLR2I	36114798
POLR2I	36114412
POLR2I	36114066
POLR2I	36114015
PTGES3L-AARSD1	42951894
PTGES3L-AARSD1	42954876
PTGES3L-AARSD1	42953724
PTGES3L-AARSD1	42950728
PTK2B	27420073
PTK2B	27341768
PTK2B	27343901
RAD50	132595573
RAD50	132609396
RAD50	132579317
RASGRP2	64728863
RASGRP2	64742794
RASGRP2	64742112
RPGR	38276772
RPGR	38290959
RPGR	38287094
RPL24	101681215
RPL24	101682241
RPL24	101682771
RPL34	108620600
RPL34	108622105
RPL34	108621951
RPL8	144789962
RPL8	144791277
RPL8	144790355
RRBP1	17660528
RRBP1	17682028
RRBP1	17680075
RRBP1	17679995
RWDD1	116580295
RWDD1	116571655
RWDD1	116572985
RWDD1	116574058
SASH1	148514324
SASH1	148487715
SASH1	148514159
SASH1	148508877
SEPTIN11	77036837
SEPTIN11	77039073
SEPTIN11	77039743
SNHG14	25418788
SNHG14	24985446
SNHG14	25278884
SNHG5	85677492
SNHG5	85677954
SNHG5	85678188
SNHG5	85666147
SPATS2L	200389223
SPATS2L	200329480
SPATS2L	200306601
SPATS2L	200329431
SSC4D	76404537
SSC4D	76316240
SSC4D	76266122
SYT1	79217503
SYT1	78865109
SYT1	78977931
TAPBPL	6462034
TAPBPL	6460938
TAPBPL	6461390
TESPA1	54950390
TESPA1	54962431
TESPA1	54956754
TESPA1	54961168
THY1	119418382
THY1	119418926
THY1	119420051
THY1	119419126
TIAL1	119588152
TIAL1	119588248
TIAL1	119596434
TMEM165	55424538
TMEM165	55396396
TMEM165	55417072
TPTEP2	38380370
TPTEP2	38344741
TPTEP2	38347489
TTC19	16001915
TTC19	16000245
TTC19	16000382
TTLL7	83919699
TTLL7	83952387
TTLL7	83998931
TTLL7	83947282
TTLL7	83949865
WDR4	42843281
WDR4	42846541
WDR4	42850041
WDR4	42849198
WDR61	78299562
WDR61	78285261
WDR61	78288289
WDR61	78278301
WIPI2	5230835
WIPI2	5229705
WIPI2	5229738
WIPI2	5229765
ZNF236	76880316
ZNF236	76881284
ZNF236	76881288
ZNF236	76881321
unknown_chr11_40700000	40767025
unknown_chr11_40700000	40933635
unknown_chr11_40700000	40715644
unknown_chr11_40700000	40933639
unknown_chr17_82100000	82160494
unknown_chr17_82100000	82160338
unknown_chr17_82100000	82160354
unknown_chr1_16300000	16323665
unknown_chr1_16300000	16323292
unknown_chr1_16300000	16323536
unknown_chr1_204600000	204671395
unknown_chr1_204600000	204671422
unknown_chr1_204600000	204671418
unknown_chr1_204600000	204671420
unknown_chr1_25600000	25625240
unknown_chr1_25600000	25625725
unknown_chr1_25600000	25625585
unknown_chr1_25600000	25625579
unknown_chr1_59300000	59344152
unknown_chr1_59300000	58373419
unknown_chr1_59300000	58373609
unknown_chr2_217200000	217262932
unknown_chr2_217200000	217259425
unknown_chr2_217200000	217261801
unknown_chr2_217200000	217266537
unknown_chr2_55100000	55171608
unknown_chr2_55100000	55172196
unknown_chr2_55100000	55172067
unknown_chr3_KI270936v1_alt_0	80292
unknown_chr3_KI270936v1_alt_0	80897
unknown_chr3_KI270936v1_alt_0	80582
unknown_chr3_KI270936v1_alt_0	80808
unknown_chr3_KI270936v1_alt_0	80839
unknown_chr6_150900000	150927687
unknown_chr6_150900000	150948256
unknown_chr6_150900000	150927705
unknown_chr6_150900000	150955731
unknown_chr7_124000000	124049224
unknown_chr7_124000000	124032679
unknown_chr7_124000000	124287289
unknown_chr7_124000000	124077372
unknown_chr7_124000000	124090413
unknown_chr7_74900000	74863263
unknown_chr7_74900000	74878654
unknown_chr7_74900000	74908916
unknown_chr9_77000000	77060540
unknown_chr9_77000000	77060539
unknown_chr9_77000000	77060538
unknown_chr9_77400000	77414864
unknown_chr9_77400000	77414866
unknown_chr9_77400000	77414861
unknown_chrM_0	1996
unknown_chrM_0	14687
unknown_chrM_0	1233
